title,company,rating,location,descript
Data Science Consultant,Accenture,4.0,Phoenix,"Minimum of 2 years expertise or advanced statistical modeling, machine learning, data mining, unstructured data analytics in corporate and/or academic research…"
Artificial Intelligence Customer Engineer,Intel,4.1,Chandler,"2+ years of experience in with machine learning, data science or data engineering.
Learn cnvrg.io product in-depth and help customers and data scientists do the…"
Principal Data Scientist,Honeywell,3.7,Phoenix,"Master’s degree in computer science, applied mathematics, statistics, software engineering, physics, or related discipline in marketing and analytics."
Data Engineer,Amex,4.1,Phoenix,"Collaborate with data scientists and architects to build end to end AI powered products.
Sometimes be involved in conducting complex data analysis and transform…"
Data Scientist,Caris Life Sciences,2.7,Phoenix,"Experience with state-of-the-art machine learning and deep learning methods and frameworks.
Respond to and manage ad hoc requests to ensure accurate, in-depth…"
Senior Data Analyst,"AskReply, Inc.",,Phoenix,"Defines project data requirements by identifying project milestones, scope, and data elements needed to implement data from one system to the other successfully…"
Senior Data Analyst,Progress Residential,2.9,Scottsdale," Mentors junior team members and serves as data subject matter expert within and outside of the department.
 Three (3) or more years’ experience using SQL in…"
Data Scientist (Global Data and Analytics),Circle K,3.3,Tempe,"1-2 years of experience in a data science/advanced analytics role, or demonstrated ability to perform job functions via academic project/internship experience."
Data Scientist - Computer Vision,B.Yond,,Phoenix,You will be working with an enthusiastic team of sports aficionados and a professional league team in developing the next generation of analytics and computer…
Machine Learning Engineer,Defendry,,Scottsdale,"You will be joining a fast paced, dynamic environment and product team, working with top talent in the fields of Data Science / Machine Learning, Cloud…"
Principal Data Scientist,Honeywell,3.7,Phoenix,"Master’s degree in computer science, applied mathematics, statistics, software engineering, physics, or related discipline in marketing and analytics."
Senior Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",3.5,Tempe,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.
Sr. Data Scientist,NortonLifeLock,3.9,Tempe,Work with Engineering and Product teams to ensure the appropriate metrics and dimensions are incorporated into our data sets and to integrate our data products…
Lead II - Data Analysis,UST Global,3.7,Tempe,"The candidate will work closely with project managers, vendor partners, business unit representatives, project sponsors other teams to deliver the solutions."
AML Rules Senior Data Analyst,PayPal,3.9,Chandler,"And the standard monitoring rules/scenarios offered • Strong research and analytical skills, business acumen, strategic and creative thinking, project…"
"Software Engineer, Data Science",Carvana,2.7,Phoenix,You will work with a top-caliber team of data scientists and engineers and will build software and systems that transform advanced mathematical algorithms and…
Data Engineer,Amex,4.1,Phoenix,"Collaborate with data scientists and architects to build end to end AI powered products.
Sometimes be involved in conducting complex data analysis and transform…"
Data & Analytics Manager,Accenture,4.0,Phoenix,"Business Translator (identifying business problem, initiative, analytics intervention, data scientist management, data science interpretation, storytelling)."
